--Loading Dataset--
--Finished Loading Dataset--
--Initialized Transcoder--
--Created Dataloader--
--Beginning Training--
         14709571 function calls (14634871 primitive calls) in 189.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.001    0.001 asyncio.py:1(<module>)
        4    0.000    0.000    0.001    0.000 std.py:1150(__str__)
       23    0.000    0.000    0.001    0.000 typing.py:1476(__getitem__)
        2    0.000    0.000    0.001    0.000 distance_measures.py:1(<module>)
       19    0.000    0.000    0.001    0.000 typing.py:1074(_generic_class_getitem)
     2686    0.001    0.000    0.001    0.000 {method 'rsplit' of 'str' objects}
        1    0.000    0.000    0.001    0.001 symbolic_opset11.py:1(<module>)
     6016    0.001    0.000    0.001    0.000 inspect.py:3089(parameters)
     1232    0.001    0.000    0.001    0.000 {built-in method _imp.is_builtin}
        1    0.000    0.000    0.001    0.001 callback.py:1(<module>)
      822    0.000    0.000    0.001    0.000 {built-in method builtins.delattr}
        1    0.001    0.001    0.001    0.001 reference.py:355(TensorReferenceAnalysis)
     1672    0.000    0.000    0.001    0.000 _ops.py:1072(__hash__)
       32    0.001    0.000    0.001    0.000 util.py:189(__init__)
       46    0.000    0.000    0.001    0.000 _parser.py:98(closegroup)
       16    0.000    0.000    0.001    0.000 process.py:61(_cleanup)
     4420    0.001    0.000    0.001    0.000 __init__.py:129(annotate)
     2159    0.001    0.000    0.001    0.000 {built-in method _weakref._remove_dead_weakref}
     1232    0.001    0.000    0.001    0.000 {built-in method _imp.find_frozen}
      126    0.000    0.000    0.001    0.000 inspect.py:2323(p)
        1    0.000    0.000    0.001    0.001 _web_request.py:1(<module>)
 1023/996    0.000    0.000    0.001    0.000 {built-in method builtins.repr}
       55    0.000    0.000    0.001    0.000 autograd.py:99(<genexpr>)
       17    0.000    0.000    0.001    0.000 queues.py:71(_reset)
    15/14    0.000    0.000    0.001    0.000 signal_handling.py:70(handler)
        1    0.000    0.000    0.001    0.001 complexfield.py:1(<module>)
      771    0.001    0.000    0.001    0.000 backends.py:1842(_make_doc)
        1    0.000    0.000    0.001    0.001 autograd.py:119(supports_tensorlist)
     4411    0.001    0.000    0.001    0.000 _parser.py:240(__next)
       75    0.000    0.000    0.001    0.000 _weakrefset.py:63(__iter__)
        4    0.000    0.000    0.001    0.000 std.py:464(format_meter)
      234    0.001    0.000    0.001    0.000 {built-in method torch._C._get_schema}
     5680    0.001    0.000    0.001    0.000 socket.py:237(__enter__)
  149/136    0.000    0.000    0.001    0.000 cache.py:69(wrapper)
        1    0.000    0.000    0.001    0.001 equality.py:1(<module>)
        1    0.000    0.000    0.001    0.001 gml.py:1(<module>)
        1    0.000    0.000    0.001    0.001 generic.py:1(<module>)
     1102    0.000    0.000    0.001    0.000 inspect.py:306(ismethod)
       34    0.000    0.000    0.001    0.000 symbol.py:494(__new__)
     2897    0.001    0.000    0.001    0.000 process.py:37(current_process)
        1    0.000    0.000    0.001    0.001 symbolic_opset10.py:1(<module>)
        1    0.000    0.000    0.001    0.001 _web_response.py:1(<module>)
        1    0.000    0.000    0.001    0.001 latex.py:1(<module>)
       48    0.000    0.000    0.001    0.000 ast.py:34(parse)
     1420    0.001    0.000    0.001    0.000 __init__.py:39(is_built)
        5    0.000    0.000    0.001    0.000 storage.py:259(cpu)
        1    0.000    0.000    0.001    0.001 complexfield.py:48(__init__)
     1226    0.000    0.000    0.001    0.000 _ops.py:763(__hash__)
    82/41    0.000    0.000    0.001    0.000 sorting.py:10(default_sort_key)
     2762    0.001    0.000    0.001    0.000 {built-in method _free_weak_ref}
       28    0.000    0.000    0.001    0.000 typing.py:1485(copy_with)
     2840    0.000    0.000    0.000    0.000 decorators.py:261(graph_break)
     1612    0.000    0.000    0.000    0.000 {built-in method torch._C._has_torch_function}
        1    0.000    0.000    0.000    0.000 ctx_iv.py:306(__init__)
       14    0.000    0.000    0.000    0.000 common_op_utils.py:51(_register_default_op)
      639    0.000    0.000    0.000    0.000 ctx_mp_python.py:1014(_wrap_specfun)
       20    0.000    0.000    0.000    0.000 torch_function.py:175(<lambda>)
       15    0.000    0.000    0.000    0.000 {built-in method torch._C._error_if_any_worker_fails}
        1    0.000    0.000    0.000    0.000 _result_provenance.py:1(<module>)
     2092    0.000    0.000    0.000    0.000 {method 'remove' of 'list' objects}
        1    0.000    0.000    0.000    0.000 small.py:1(<module>)
        1    0.000    0.000    0.000    0.000 std.py:952(__init__)
      388    0.000    0.000    0.000    0.000 {built-in method fromkeys}
       11    0.000    0.000    0.000    0.000 utils.py:303(has_kwarg_only_tensors)
        1    0.000    0.000    0.000    0.000 _translation_metadata.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _graph_traversal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _logical_location.py:1(<module>)
      385    0.000    0.000    0.000    0.000 typing_extensions.py:3114(_is_unpacked_typevartuple)
        5    0.000    0.000    0.000    0.000 {method 'copy_' of 'torch._C.StorageBase' objects}
        1    0.000    0.000    0.000    0.000 _version_control_details.py:1(<module>)
        1    0.000    0.000    0.000    0.000 beta_functions.py:1(<module>)
     2840    0.000    0.000    0.000    0.000 {function socket.detach at 0x716134632020}
        2    0.000    0.000    0.000    0.000 std.py:1160(__iter__)
        1    0.000    0.000    0.000    0.000 libintmath.py:1(<module>)
  399/266    0.000    0.000    0.000    0.000 functools.py:982(__get__)
        1    0.000    0.000    0.000    0.000 checkpoint_wrapper.py:1(<module>)
        1    0.000    0.000    0.000    0.000 classic.py:1(<module>)
       32    0.000    0.000    0.000    0.000 _compiler.py:516(_compile_info)
        1    0.000    0.000    0.000    0.000 _physical_location.py:1(<module>)
     2680    0.000    0.000    0.000    0.000 facts.py:582(_tell)
        1    0.000    0.000    0.000    0.000 _run_automation_details.py:1(<module>)
        1    0.000    0.000    0.000    0.000 api.py:194(ShardedTensor)
        2    0.000    0.000    0.000    0.000 dataloader.py:634(__init__)
      280    0.000    0.000    0.000    0.000 inspect.py:2150(_signature_is_builtin)
        1    0.000    0.000    0.000    0.000 contract.py:1(<module>)
        1    0.000    0.000    0.000    0.000 unweighted.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tensor_functions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _einsum_strategy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _rectangle.py:1(<module>)
        1    0.000    0.000    0.000    0.000 link_prediction.py:1(<module>)
       38    0.000    0.000    0.000    0.000 symbol.py:359(__xnew__)
      428    0.000    0.000    0.000    0.000 libmpf.py:291(from_man_exp)
        1    0.000    0.000    0.000    0.000 compile_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method torch._C._cuda_init}
      349    0.000    0.000    0.000    0.000 typing.py:317(_deduplicate)
       12    0.000    0.000    0.000    0.000 utils.py:378(disp_len)
       61    0.000    0.000    0.000    0.000 symbolic_helper.py:1722(_apply)
        1    0.000    0.000    0.000    0.000 _location_relationship.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _exception.py:1(<module>)
     1621    0.000    0.000    0.000    0.000 typing.py:1273(<genexpr>)
        1    0.000    0.000    0.000    0.000 _sarif_log.py:1(<module>)
        1    0.000    0.000    0.000    0.000 edge_augmentation.py:1(<module>)
      597    0.000    0.000    0.000    0.000 registration.py:151(add)
      228    0.000    0.000    0.000    0.000 <frozen posixpath>:117(splitext)
     1322    0.000    0.000    0.000    0.000 dataclasses.py:549(_init_param)
        1    0.000    0.000    0.000    0.000 sys.py:1(<module>)
     2874    0.000    0.000    0.000    0.000 connection.py:131(__del__)
        1    0.000    0.000    0.000    0.000 _node.py:1(<module>)
     1064    0.000    0.000    0.000    0.000 jit.py:715(__setattr__)
       17    0.000    0.000    0.000    0.000 threading.py:616(set)
       89    0.000    0.000    0.000    0.000 utils.py:83(groupby)
     1987    0.000    0.000    0.000    0.000 dataclasses.py:683(_is_classvar)
       49    0.000    0.000    0.000    0.000 {built-in method posix.pipe}
        1    0.000    0.000    0.000    0.000 fully_sharded_data_parallel.py:117(FullyShardedDataParallel)
      118    0.000    0.000    0.000    0.000 {built-in method _abc._abc_init}
        1    0.000    0.000    0.000    0.000 ctx_fp.py:18(__init__)
       89    0.000    0.000    0.000    0.000 symbolic_helper.py:336(decorator)
        1    0.000    0.000    0.000    0.000 matexpr.py:37(MatrixExpr)
        1    0.000    0.000    0.000    0.000 _reporting_configuration.py:1(<module>)
       12    0.000    0.000    0.000    0.000 utils.py:374(_text_width)
       32    0.000    0.000    0.000    0.000 function.py:329(__init__)
       16    0.000    0.000    0.000    0.000 {built-in method builtins.sum}
        1    0.000    0.000    0.000    0.000 iter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _edge_traversal.py:1(<module>)
        1    0.000    0.000    0.000    0.000 init.py:1(<module>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1058(source_to_code)
        1    0.000    0.000    0.000    0.000 _fix.py:1(<module>)
        3    0.000    0.000    0.000    0.000 ctx_mp.py:96(init_builtins)
        1    0.000    0.000    0.000    0.000 _suppression.py:1(<module>)
      196    0.000    0.000    0.000    0.000 iterables.py:585(sift)
        1    0.000    0.000    0.000    0.000 _message.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _stack_frame.py:1(<module>)
      114    0.000    0.000    0.000    0.000 __init__.py:675(joinpath)
        1    0.000    0.000    0.000    0.000 wrap.py:1(<module>)
        1    0.000    0.000    0.000    0.000 breadth_first_search.py:1(<module>)
     1462    0.000    0.000    0.000    0.000 {method 'remove' of 'collections.deque' objects}
        1    0.000    0.000    0.000    0.000 reportviews.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _debug_utils.py:1(<module>)
       31    0.000    0.000    0.000    0.000 _internal.py:580(getArtifactLogger)
        2    0.000    0.000    0.000    0.000 _funcs.py:21(_public_functions)
        1    0.000    0.000    0.000    0.000 _exec_order_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 spherical_harmonics.py:1(<module>)
        2    0.000    0.000    0.000    0.000 inspect.py:611(getmembers)
     1239    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(__init__)
        1    0.000    0.000    0.000    0.000 compiled_autograd.py:1(<module>)
        2    0.000    0.000    0.000    0.000 cuts.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _edge.py:1(<module>)
        2    0.000    0.000    0.000    0.000 inspect.py:569(_getmembers)
        1    0.000    0.000    0.000    0.000 _reporting_descriptor_relationship.py:1(<module>)
      237    0.000    0.000    0.000    0.000 libmpf.py:330(from_int)
        1    0.000    0.000    0.000    0.000 smallworld.py:1(<module>)
        2    0.000    0.000    0.000    0.000 operations.py:1(<module>)
        1    0.000    0.000    0.000    0.000 product.py:1(<module>)
        1    0.000    0.000    0.000    0.000 configs.py:1(<module>)
        1    0.000    0.000    0.000    0.000 guards.py:2303(PyExprCSEPass)
       91    0.000    0.000    0.000    0.000 enum.py:966(_get_mixins_)
       66    0.000    0.000    0.000    0.000 decorators.py:46(deco)
        1    0.000    0.000    0.000    0.000 _external_property_file_reference.py:1(<module>)
      114    0.000    0.000    0.000    0.000 __init__.py:243(_releaseLock)
        1    0.000    0.000    0.000    0.000 _tool_component_reference.py:1(<module>)
        1    0.000    0.000    0.000    0.000 code_generator.py:295(CodeGenerator)
        1    0.000    0.000    0.000    0.000 polygon.py:1(<module>)
        1    0.000    0.000    0.000    0.000 cycles.py:1(<module>)
      597    0.000    0.000    0.000    0.000 registration.py:127(__init__)
        1    0.000    0.000    0.000    0.000 io_adapter.py:1(<module>)
        1    0.000    0.000    0.000    0.000 std.py:1382(set_description)
        1    0.000    0.000    0.000    0.000 backend.py:1(<module>)
        1    0.000    0.000    0.000    0.000 builtin.py:1(<module>)
      872    0.000    0.000    0.000    0.000 functools.py:424(_unwrap_partial)
        1    0.000    0.000    0.000    0.000 codecache.py:3028(CUDACodeCache)
        1    0.000    0.000    0.000    0.000 diagonal.py:1(<module>)
       16    0.000    0.000    0.000    0.000 queues.py:140(close)
        1    0.000    0.000    0.000    0.000 _multiformat_message_string.py:1(<module>)
        1    0.000    0.000    0.000    0.000 style.py:1(<module>)
      188    0.000    0.000    0.000    0.000 __init__.py:457(_replace)
        5    0.000    0.000    0.000    0.000 exceptions.py:1(<module>)
     1325    0.000    0.000    0.000    0.000 dataclasses.py:477(_field_assign)
        5    0.000    0.000    0.000    0.000 torch_function.py:160(<lambda>)
        1    0.000    0.000    0.000    0.000 vf2pp.py:1(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:289(select)
        1    0.000    0.000    0.000    0.000 ordinals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random_graphs.py:1(<module>)
       66    0.000    0.000    0.000    0.000 decorators.py:52(__sympifyit)
     2842    0.000    0.000    0.000    0.000 _utils_internal.py:172(justknobs_check)
        3    0.000    0.000    0.000    0.000 __init__.py:294(<genexpr>)
        1    0.000    0.000    0.000    0.000 _fsdp_common.py:88(TrainingState)
        1    0.000    0.000    0.000    0.000 planarity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 triton_kernel_wrap.py:1139(TritonHOPifier)
       18    0.000    0.000    0.000    0.000 trace_rules.py:3208(_strip_init_py)
        1    0.000    0.000    0.000    0.000 _runtime_utils.py:1(<module>)
     1191    0.000    0.000    0.000    0.000 libintmath.py:91(python_bitcount)
       29    0.000    0.000    0.000    0.000 module.py:1944(__setattr__)
        1    0.000    0.000    0.000    0.000 strongly_connected.py:1(<module>)
      249    0.000    0.000    0.000    0.000 <frozen posixpath>:169(basename)
     1206    0.000    0.000    0.000    0.000 {built-in method _imp._fix_co_filename}
     1987    0.000    0.000    0.000    0.000 dataclasses.py:691(_is_initvar)
      445    0.000    0.000    0.000    0.000 <frozen posixpath>:138(splitroot)
     1959    0.000    0.000    0.000    0.000 {built-in method builtins.vars}
        2    0.000    0.000    0.000    0.000 kcomponents.py:1(<module>)
       10    0.000    0.000    0.000    0.000 <frozen abc>:110(register)
       64    0.000    0.000    0.000    0.000 enum.py:1561(__and__)
       88    0.000    0.000    0.000    0.000 __init__.py:1428(_fixupParents)
        1    0.000    0.000    0.000    0.000 cache_size.py:1(<module>)
        4    0.000    0.000    0.000    0.000 std.py:457(print_status)
       10    0.000    0.000    0.000    0.000 {built-in method _abc._abc_register}
      393    0.000    0.000    0.000    0.000 typing.py:2344(get_origin)
        1    0.000    0.000    0.000    0.000 codecache.py:3116(ROCmCodeCache)
      274    0.000    0.000    0.000    0.000 functools.py:482(lru_cache)
     1275    0.000    0.000    0.000    0.000 dataclasses.py:309(__init__)
       23    0.000    0.000    0.000    0.000 _contextlib.py:124(__call__)
       95    0.000    0.000    0.000    0.000 sympify.py:124(sympify)
      445    0.000    0.000    0.000    0.000 pathlib.py:429(_format_parsed_parts)
      325    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        1    0.000    0.000    0.000    0.000 _special_locations.py:1(<module>)
      188    0.000    0.000    0.000    0.000 _collections.py:28(parse)
        6    0.000    0.000    0.000    0.000 printer.py:424(decorator)
       48    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        1    0.000    0.000    0.000    0.000 enum.py:1707(convert_class)
     1032    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1577(<genexpr>)
       30    0.000    0.000    0.000    0.000 typing.py:1999(__init_subclass__)
        2    0.000    0.000    0.000    0.000 triads.py:1(<module>)
     1436    0.000    0.000    0.000    0.000 selectors.py:63(__init__)
        6    0.000    0.000    0.000    0.000 printer.py:392(__init__)
       56    0.000    0.000    0.000    0.000 _ops.py:1082(_schemas)
      783    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       89    0.000    0.000    0.000    0.000 utils.py:61(reverse_dict)
        1    0.000    0.000    0.000    0.000 similarity.py:1(<module>)
       52    0.000    0.000    0.000    0.000 typing.py:1123(_generic_init_subclass)
     1406    0.000    0.000    0.000    0.000 utils.py:375(<genexpr>)
       52    0.000    0.000    0.000    0.000 _weakrefset.py:85(add)
       42    0.000    0.000    0.000    0.000 __init__.py:174(search)
        1    0.000    0.000    0.000    0.000 shard.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _property_bag.py:1(<module>)
        1    0.000    0.000    0.000    0.000 enum.py:862(_create_)
     1436    0.000    0.000    0.000    0.000 selectors.py:275(_key_from_fd)
       24    0.000    0.000    0.000    0.000 typing_extensions.py:2894(__call__)
     2086    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:158(__init__)
        1    0.000    0.000    0.000    0.000 custom_graph_pass.py:1(<module>)
      248    0.000    0.000    0.000    0.000 enum.py:849(__setattr__)
       54    0.000    0.000    0.000    0.000 {method 'findall' of 're.Pattern' objects}
       31    0.000    0.000    0.000    0.000 {built-in method torch._C._dispatch_library}
      113    0.000    0.000    0.000    0.000 {built-in method builtins.sorted}
     4017    0.000    0.000    0.000    0.000 {built-in method builtins.ord}
      347    0.000    0.000    0.000    0.000 pretty_symbology.py:10(U)
        1    0.000    0.000    0.000    0.000 importtools.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:268(_check_cubins)
        1    0.000    0.000    0.000    0.000 dataloader.py:1105(__init__)
        2    0.000    0.000    0.000    0.000 functions.py:1361(make_opaque_bitwise_fn)
        1    0.000    0.000    0.000    0.000 treewidth.py:1(<module>)
      388    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:1588(invalidate_caches)
        1    0.000    0.000    0.000    0.000 dataloader.py:1229(_reset)
       12    0.000    0.000    0.000    0.000 contextlib.py:78(inner)
      409    0.000    0.000    0.000    0.000 enum.py:784(__delattr__)
     2840    0.000    0.000    0.000    0.000 connection.py:259(__enter__)
        1    0.000    0.000    0.000    0.000 ask.py:21(AssumptionKeys)
       17    0.000    0.000    0.000    0.000 threading.py:424(notify_all)
        1    0.000    0.000    0.000    0.000 binary.py:1(<module>)
       10    0.000    0.000    0.000    0.000 symbol.py:654(symbols)
        1    0.000    0.000    0.000    0.000 decorators.py:371(argmap)
       22    0.000    0.000    0.000    0.000 {built-in method torch.parse_schema}
        1    0.000    0.000    0.000    0.000 symbolic_opset18.py:1(<module>)
        3    0.000    0.000    0.000    0.000 decorators.py:123(sympify_method_args)
        1    0.000    0.000    0.000    0.000 d_separation.py:1(<module>)
      182    0.000    0.000    0.000    0.000 inspect.py:2492(_descriptor_get)
        1    0.000    0.000    0.000    0.000 core.py:316(dtype)
       59    0.000    0.000    0.000    0.000 _compiler.py:243(_optimize_charset)
    70/69    0.000    0.000    0.000    0.000 typing.py:1603(__repr__)
       17    0.000    0.000    0.000    0.000 threading.py:884(__init__)
        6    0.000    0.000    0.000    0.000 __init__.py:698(_parse_visible_devices)
       16    0.000    0.000    0.000    0.000 fromnumeric.py:89(_wrapreduction_any_all)
        1    0.000    0.000    0.000    0.000 piecewise.py:1(<module>)
      455    0.000    0.000    0.000    0.000 _config_module.py:87(__init__)
        1    0.000    0.000    0.000    0.000 permutation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 group.py:1(<module>)
       47    0.000    0.000    0.000    0.000 _ufuncs.py:289(deco_unary_ufunc)
        2    0.000    0.000    0.000    0.000 distributed.py:1(<module>)
        1    0.000    0.000    0.000    0.000 symbolic_opset8.py:1(<module>)
      360    0.000    0.000    0.000    0.000 enum.py:79(_is_private)
       14    0.000    0.000    0.000    0.000 trace_rules.py:3214(_module_dir)
       23    0.000    0.000    0.000    0.000 _contextlib.py:70(context_decorator)
       56    0.000    0.000    0.000    0.000 decorator.py:233(memoize_property)
        2    0.000    0.000    0.000    0.000 linalg.py:1(<module>)
        1    0.000    0.000    0.000    0.000 depth_first_search.py:1(<module>)
        2    0.000    0.000    0.000    0.000 euler.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _debug_utils.py:22(SimpleProfiler)
        2    0.000    0.000    0.000    0.000 determinant.py:1(<module>)
        1    0.000    0.000    0.000    0.000 coding.py:1(<module>)
     10/9    0.000    0.000    0.000    0.000 _tensor.py:1159(__len__)
        1    0.000    0.000    0.000    0.000 _type_utils.py:67(JitScalarType)
        1    0.000    0.000    0.000    0.000 hadamard.py:1(<module>)
       32    0.000    0.000    0.000    0.000 queues.py:153(cancel_join_thread)
     1578    0.000    0.000    0.000    0.000 inspect.py:2888(__init__)
       16    0.000    0.000    0.000    0.000 dataloader.py:1553(_mark_worker_as_unavailable)
      964    0.000    0.000    0.000    0.000 utils.py:56(<genexpr>)
       41    0.000    0.000    0.000    0.000 decorators.py:110(priority_decorator)
        6    0.000    0.000    0.000    0.000 torch_function.py:163(<lambda>)
       12    0.000    0.000    0.000    0.000 fromnumeric.py:2589(all)
        1    0.000    0.000    0.000    0.000 compiled_autograd.py:162(AutogradCompilerInstance)
       78    0.000    0.000    0.000    0.000 __init__.py:255(escape)
        1    0.000    0.000    0.000    0.000 add.py:1(<module>)
        1    0.000    0.000    0.000    0.000 containers.py:1(<module>)
        2    0.000    0.000    0.000    0.000 std.py:1265(close)
        1    0.000    0.000    0.000    0.000 os.py:1(<module>)
        1    0.000    0.000    0.000    0.000 reciprocity.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyerrors.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _flat_param.py:455(FlatParamHandle)
      153    0.000    0.000    0.000    0.000 serialization.py:1207(persistent_id)
     1234    0.000    0.000    0.000    0.000 decorators.py:710(__init__)
      213    0.000    0.000    0.000    0.000 ctx_fp.py:51(_wrap_specfun)
       16    0.000    0.000    0.000    0.000 queues.py:224(_finalize_close)
        1    0.000    0.000    0.000    0.000 sympy_parser.py:1(<module>)
        5    0.000    0.000    0.000    0.000 _tensor.py:264(__reduce_ex__)
       12    0.000    0.000    0.000    0.000 __init__.py:389(__getattr__)
      699    0.000    0.000    0.000    0.000 {method 'replace' of 'str' objects}
      228    0.000    0.000    0.000    0.000 <frozen genericpath>:133(_splitext)
        1    0.000    0.000    0.000    0.000 matrixbase.py:99(MatrixBase)
        1    0.000    0.000    0.000    0.000 _dtypes.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dicts.py:1(<module>)
        5    0.000    0.000    0.000    0.000 parameter.py:40(__new__)
        5    0.000    0.000    0.000    0.000 torch_function.py:164(<lambda>)
        1    0.000    0.000    0.000    0.000 conventions.py:1(<module>)
        1    0.000    0.000    0.000    0.000 subgraph_alg.py:1(<module>)
      347    0.000    0.000    0.000    0.000 {built-in method unicodedata.lookup}
        4    0.000    0.000    0.000    0.000 __init__.py:16(_find_concrete_subclasses)
        8    0.000    0.000    0.000    0.000 dataset.py:418(__len__)
     1251    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:412(__init__)
        1    0.000    0.000    0.000    0.000 numpy.py:1(<module>)
        1    0.000    0.000    0.000    0.000 expr_with_limits.py:1(<module>)
        1    0.000    0.000    0.000    0.000 random.py:123(cb)
       91    0.000    0.000    0.000    0.000 enum.py:1007(_find_data_type_)
       16    0.000    0.000    0.000    0.000 util.py:436(_flush_std_streams)
      133    0.000    0.000    0.000    0.000 jit.py:262(is_constexpr)
        1    0.000    0.000    0.000    0.000 functional.py:1(<module>)
        1    0.000    0.000    0.000    0.000 connected.py:1(<module>)
        1    0.000    0.000    0.000    0.000 binrel.py:1(<module>)
        1    0.000    0.000    0.000    0.000 recognition.py:1(<module>)
        1    0.000    0.000    0.000    0.000 all.py:1(<module>)
      120    0.000    0.000    0.000    0.000 typing.py:1205(__getattr__)
        1    0.000    0.000    0.000    0.000 core.py:767(tensor)
        1    0.000    0.000    0.000    0.000 simple_paths.py:1(<module>)
      482    0.000    0.000    0.000    0.000 facts.py:579(__init__)
        1    0.000    0.000    0.000    0.000 std.py:663(__new__)
       12    0.000    0.000    0.000    0.000 matexpr.py:23(deco)
        1    0.000    0.000    0.000    0.000 context.py:90(Event)
        1    0.000    0.000    0.000    0.000 distance_regular.py:1(<module>)
        1    0.000    0.000    0.000    0.000 onnxruntime.py:675(OrtBackendOptions)
        1    0.000    0.000    0.000    0.000 atlas.py:1(<module>)
        1    0.000    0.000    0.000    0.000 astar.py:1(<module>)
      226    0.000    0.000    0.000    0.000 __init__.py:314(_from_text)
        1    0.000    0.000    0.000    0.000 graphical.py:1(<module>)
        1    0.000    0.000    0.000    0.000 synchronize.py:330(__init__)
       87    0.000    0.000    0.000    0.000 trace_rules.py:2968(__call__)
        1    0.000    0.000    0.000    0.000 _fsdp_param.py:193(FSDPParam)
       38    0.000    0.000    0.000    0.000 decorators.py:368(sig_ident)
       12    0.000    0.000    0.000    0.000 deprecated.py:44(setup_docs)
        1    0.000    0.000    0.000    0.000 dataloader.py:766(__init__)
        1    0.000    0.000    0.000    0.000 structuralholes.py:1(<module>)
       23    0.000    0.000    0.000    0.000 trace_rules.py:2988(remove)
        1    0.000    0.000    0.000    0.000 symbolic_opset13.py:1(<module>)
      161    0.000    0.000    0.000    0.000 _parser.py:372(_escape)
        1    0.000    0.000    0.000    0.000 array_comprehension.py:1(<module>)
       27    0.000    0.000    0.000    0.000 functools.py:907(wrapper)
        1    0.000    0.000    0.000    0.000 make_functional.py:1(<module>)
       38    0.000    0.000    0.000    0.000 _weakrefset.py:27(__exit__)
      447    0.000    0.000    0.000    0.000 pathlib.py:1164(__new__)
        1    0.000    0.000    0.000    0.000 graph_region_tracker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _appending_byte_serializer.py:1(<module>)
        1    0.000    0.000    0.000    0.000 contraction.py:1(<module>)
       29    0.000    0.000    0.000    0.000 singleton.py:190(__init__)
        1    0.000    0.000    0.000    0.000 degree_seq.py:1(<module>)
        1    0.000    0.000    0.000    0.000 biconnected.py:1(<module>)
      153    0.000    0.000    0.000    0.000 serialization.py:1157(persistent_id)
        1    0.000    0.000    0.000    0.000 tournament.py:1(<module>)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
        1    0.000    0.000    0.000    0.000 tempfile.py:884(__init__)
      268    0.000    0.000    0.000    0.000 libmpf.py:322(<genexpr>)
        1    0.000    0.000    0.000    0.000 std.py:1198(update)
     1499    0.000    0.000    0.000    0.000 {method 'strip' of 'str' objects}
      786    0.000    0.000    0.000    0.000 <frozen posixpath>:52(normcase)
      188    0.000    0.000    0.000    0.000 __init__.py:228(matches)
        1    0.000    0.000    0.000    0.000 community.py:1(<module>)
       78    0.000    0.000    0.000    0.000 {method 'translate' of 'str' objects}
     1987    0.000    0.000    0.000    0.000 dataclasses.py:697(_is_kw_only)
        1    0.000    0.000    0.000    0.000 load.py:1(<module>)
        4    0.000    0.000    0.000    0.000 _stride_tricks_impl.py:481(broadcast_arrays)
       20    0.000    0.000    0.000    0.000 decorator.py:317(deprecated_decorator)
        2    0.000    0.000    0.000    0.000 cache.py:1(<module>)
        1    0.000    0.000    0.000    0.000 style.py:402(PrepareModuleInput)
      504    0.000    0.000    0.000    0.000 typing.py:1592(__eq__)
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
       70    0.000    0.000    0.000    0.000 tokenize.py:384(read_or_stop)
       45    0.000    0.000    0.000    0.000 enum.py:1034(_find_new_)
      855    0.000    0.000    0.000    0.000 {method 'setdefault' of 'dict' objects}
     1639    0.000    0.000    0.000    0.000 dataclasses.py:432(<genexpr>)
        1    0.000    0.000    0.000    0.000 gammasimp.py:1(<module>)
     1420    0.000    0.000    0.000    0.000 optimizer.py:451(_optimizer_step_code)
        1    0.000    0.000    0.000    0.000 logging_tensor.py:1(<module>)
        5    0.000    0.000    0.000    0.000 {built-in method _make_subclass}
        1    0.000    0.000    0.000    0.000 __init__.py:532(get_device_name)
        1    0.000    0.000    0.000    0.000 expr.py:46(Expr)
        6    0.000    0.000    0.000    0.000 init.py:126(register_tensor_creation_op)
        1    0.000    0.000    0.000    0.000 katz.py:1(<module>)
