--Loading Dataset--
--Finished Loading Dataset--
--Initialized Transcoder--
--Created Dataloader--
--Beginning Training--
         14709571 function calls (14634871 primitive calls) in 189.005 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.710    0.101 inductor_prims.py:18(make_prim)
        7    0.000    0.000    0.710    0.101 __init__.py:267(_make_prim)
        3    0.680    0.227    0.680    0.227 {built-in method torch.randperm}
     4276    0.028    0.000    0.674    0.000 reduction.py:48(dumps)
     1420    0.008    0.000    0.657    0.000 transcoders.py:81(forward)
        8    0.000    0.000    0.626    0.078 custom_ops.py:145(inner)
6901/2304    0.006    0.000    0.618    0.000 {built-in method builtins.any}
     1420    0.020    0.000    0.610    0.000 optimizer.py:465(wrapper)
     1578    0.162    0.000    0.603    0.000 train_copy_transcoder.py:28(forward)
        2    0.600    0.300    0.600    0.300 {method 'tolist' of 'torch._C.TensorBase' objects}
        1    0.000    0.000    0.572    0.572 graph_info_provider.py:1(<module>)
     4277    0.532    0.000    0.533    0.000 {method 'dump' of '_pickle.Pickler' objects}
     1420    0.014    0.000    0.517    0.000 optimizer.py:60(_use_grad)
     1232    0.008    0.000    0.506    0.000 <frozen importlib._bootstrap>:1240(_find_spec)
     1420    0.012    0.000    0.495    0.000 adam.py:212(step)
     1232    0.001    0.000    0.491    0.000 <frozen importlib._bootstrap_external>:1524(find_spec)
     1232    0.002    0.000    0.490    0.000 <frozen importlib._bootstrap_external>:1495(_get_spec)
     1383    0.010    0.000    0.483    0.000 <frozen importlib._bootstrap_external>:1597(find_spec)
14215/14163    0.011    0.000    0.483    0.000 connection.py:381(_send)
        7    0.000    0.000    0.451    0.064 custom_ops.py:48(custom_op)
     1208    0.451    0.000    0.451    0.000 {built-in method _io.open_code}
     1420    0.018    0.000    0.448    0.000 function.py:292(apply)
     5422    0.431    0.000    0.431    0.000 {built-in method posix.stat}
     1420    0.225    0.000    0.430    0.000 transcoders.py:27(backward)
     4471    0.002    0.000    0.424    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
     1420    0.004    0.000    0.404    0.000 optimizer.py:130(maybe_fallback)
     1616    0.001    0.000    0.401    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
     1749    0.001    0.000    0.400    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
